Provider,PotentialFraud,IP_TotalClaimAmt_x,IP_TotalClaimAmt_y,IP_TotalLOS_x,IP_TotalLOS_y,IP_TotalDeductible_y,IP_TotalDeductible_x,IP_ClaimCount_x,IP_ClaimCount_y,UniquePatients,UniqueCounties,OP_TotalClaimAmt,OP_ClaimCount,IP_UniqueOperatingPhys_y,IP_UniqueOperatingPhys_x,OP_TotalDeductible,IP_UniqueOtherPhys_x,IP_UniqueOtherPhys_y,IP_UniqueAttendingPhys_x,IP_UniqueAttendingPhys_y,UniqueStates,OP_UniqueOperatingPhys,OP_UniqueAttendingPhys,OP_UniqueOtherPhys,IP_StdClaimAmt_x,IP_StdClaimAmt_y,AvgIPAnnualReimb,IP_AvgClaimAmt_x,IP_AvgClaimAmt_y,IP_AvgLOS_y,IP_AvgLOS_x,OP_StdClaimAmt,PctKidneyDisease,OP_AvgClaimAmt,OP_AvgDeductible,PctHeartfailure,OP_MedianClaimAmt,StdPatientAge,IP_MedianLOS_y,IP_MedianLOS_x,PctDiabetes,PctAlzheimer,IP_MedianClaimAmt_x,IP_MedianClaimAmt_y
PRV51024,0,61000.0,61000.0,39.0,39.0,9612.0,9612.0,9.0,9.0,38,10,3050.0,30.0,1.0,1.0,90.0,1.0,1.0,1.0,1.0,2,5.0,12.0,8.0,3767.5515184857713,3767.5515184857713,4686.8421052631575,6777.777777777777,6777.777777777777,4.333333333333333,4.333333333333333,116.68062313894262,0.6052631578947368,101.66666666666667,3.0,0.5526315789473685,60.0,14.63866857649557,4.0,4.0,0.7631578947368421,0.3684210526315789,7000.0,7000.0
PRV51025,0,86000.0,86000.0,91.0,91.0,13884.0,13884.0,13.0,13.0,76,13,32350.0,74.0,2.0,2.0,400.0,0.0,0.0,2.0,2.0,2,13.0,34.0,20.0,5252.593986759645,5252.593986759645,3968.2894736842104,6615.384615384615,6615.384615384615,7.0,7.0,810.343272890291,0.4605263157894737,437.1621621621622,5.405405405405405,0.5263157894736842,100.0,13.249252074507748,5.0,5.0,0.6973684210526315,0.3157894736842105,4000.0,4000.0
PRV51026,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,9,19840.0,76.0,0.0,0.0,340.0,0.0,0.0,0.0,0.0,3,10.0,29.0,18.0,7937.253933193771,7937.253933193771,4057.6785714285716,9484.693084693085,9484.693084693085,5.333333333333333,5.333333333333333,668.7831316600191,0.39285714285714285,261.05263157894734,4.473684210526316,0.44642857142857145,65.0,14.657174123809083,4.0,4.0,0.7142857142857143,0.42857142857142855,7000.0,7000.0
PRV51027,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,5,29840.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6.0,10.0,5.0,7937.253933193771,7937.253933193771,4899.318181818182,9484.693084693085,9484.693084693085,5.333333333333333,5.333333333333333,1044.0446219937528,0.4772727272727273,563.0188679245283,0.0,0.6590909090909091,60.0,13.962430200714762,4.0,4.0,0.75,0.4318181818181818,7000.0,7000.0
PRV51029,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79,17,30660.0,93.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,6,10.0,38.0,17.0,7937.253933193771,7937.253933193771,3116.4556962025317,9484.693084693085,9484.693084693085,5.333333333333333,5.333333333333333,618.3119580109661,0.31645569620253167,329.6774193548387,1.7204301075268817,0.46835443037974683,80.0,12.724012575100016,4.0,4.0,0.6455696202531646,0.34177215189873417,7000.0,7000.0
PRV51030,0,705600.0,705600.0,379.0,379.0,86508.0,86508.0,82.0,82.0,145,14,34160.0,89.0,1.0,1.0,240.0,0.0,0.0,1.0,1.0,2,11.0,45.0,23.0,8114.731344891162,8114.731344891162,6787.310344827586,8604.878048780487,8604.878048780487,4.621951219512195,4.621951219512195,719.4308129252685,0.46206896551724136,383.82022471910113,2.696629213483146,0.6344827586206897,90.0,14.011048642565353,4.0,4.0,0.7241379310344828,0.4206896551724138,6000.0,6000.0
PRV51031,0,329000.0,329000.0,155.0,155.0,29904.0,29904.0,28.0,28.0,157,29,30720.0,157.0,2.0,2.0,340.0,0.0,0.0,2.0,2.0,4,14.0,58.0,28.0,13164.556792978468,13164.556792978468,5933.4394904458595,11750.0,11750.0,5.535714285714286,5.535714285714286,365.13129687220373,0.46496815286624205,195.6687898089172,2.1656050955414012,0.6687898089171974,70.0,14.5989617514273,3.5,3.5,0.6815286624203821,0.4713375796178344,7500.0,7500.0
PRV51032,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,5,5420.0,23.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,3,4.0,10.0,8.0,7937.253933193771,7937.253933193771,8060.952380952381,9484.693084693085,9484.693084693085,5.333333333333333,5.333333333333333,596.2063865273236,0.42857142857142855,235.65217391304347,2.1739130434782608,0.6190476190476191,80.0,12.682688331795404,4.0,4.0,0.7142857142857143,0.38095238095238093,7000.0,7000.0
PRV51035,0,29000.0,29000.0,14.0,14.0,1068.0,1068.0,1.0,1.0,25,8,3560.0,29.0,1.0,1.0,360.0,0.0,0.0,1.0,1.0,2,6.0,17.0,8.0,7937.253933193771,7937.253933193771,3342.4,29000.0,29000.0,14.0,14.0,162.9832715281834,0.56,122.75862068965517,12.413793103448276,0.56,60.0,15.688588390413088,14.0,14.0,0.72,0.28,29000.0,29000.0
PRV51036,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131,7,74880.0,278.0,0.0,0.0,1410.0,0.0,0.0,0.0,0.0,1,3.0,5.0,4.0,7937.253933193771,7937.253933193771,4890.839694656489,9484.693084693085,9484.693084693085,5.333333333333333,5.333333333333333,579.1512632739048,0.3816793893129771,269.3525179856115,5.071942446043166,0.5190839694656488,70.0,12.514206908484049,4.0,4.0,0.6335877862595419,0.3053435114503817,7000.0,7000.0
PRV51037,1,214000.0,214000.0,105.0,105.0,24564.0,24564.0,23.0,23.0,206,7,128230.0,431.0,1.0,1.0,960.0,0.0,0.0,1.0,1.0,1,2.0,2.0,1.0,5849.901184936185,5849.901184936185,3398.3980582524273,9304.347826086956,9304.347826086956,4.565217391304348,4.565217391304348,579.1863651940712,0.39805825242718446,297.51740139211137,2.2273781902552203,0.558252427184466,80.0,14.214239322598692,3.0,3.0,0.6213592233009708,0.35436893203883496,7000.0,7000.0
PRV51038,0,229600.0,229600.0,121.0,121.0,30972.0,30972.0,30.0,30.0,107,15,35890.0,111.0,2.0,2.0,220.0,1.0,1.0,2.0,2.0,3,14.0,43.0,21.0,4210.637869060674,4210.637869060674,5329.719626168225,7653.333333333333,7653.333333333333,4.033333333333333,4.033333333333333,631.6620692244942,0.4392523364485981,323.3333333333333,1.981981981981982,0.5981308411214953,90.0,13.008300327664795,3.0,3.0,0.7383177570093458,0.4766355140186916,7000.0,7000.0
PRV51040,0,63000.0,63000.0,95.0,95.0,8544.0,8544.0,9.0,9.0,69,10,11470.0,77.0,3.0,3.0,240.0,2.0,2.0,4.0,4.0,2,6.0,13.0,10.0,7681.145747868608,7681.145747868608,7824.927536231884,7000.0,7000.0,10.555555555555555,10.555555555555555,250.15039905279934,0.34782608695652173,148.96103896103895,3.116883116883117,0.5652173913043478,60.0,14.649631826616531,4.0,4.0,0.6956521739130435,0.37681159420289856,5000.0,5000.0
PRV51041,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,6,7410.0,34.0,0.0,0.0,270.0,0.0,0.0,0.0,0.0,1,4.0,9.0,5.0,7937.253933193771,7937.253933193771,1506.4516129032259,9484.693084693085,9484.693084693085,5.333333333333333,5.333333333333333,562.4232171797465,0.22580645161290322,217.94117647058823,7.9411764705882355,0.4838709677419355,60.0,12.601372219755968,4.0,4.0,0.6451612903225806,0.5161290322580645,7000.0,7000.0
PRV51042,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128,28,48050.0,142.0,0.0,0.0,310.0,0.0,0.0,0.0,0.0,9,27.0,52.0,27.0,7937.253933193771,7937.253933193771,4862.109375,9484.693084693085,9484.693084693085,5.333333333333333,5.333333333333333,625.7915694564421,0.3828125,338.38028169014086,2.183098591549296,0.515625,90.0,11.96550842092612,4.0,4.0,0.6015625,0.34375,7000.0,7000.0
PRV51043,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,4,4480.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,6.0,4.0,7937.253933193771,7937.253933193771,2987.5,9484.693084693085,9484.693084693085,5.333333333333333,5.333333333333333,297.6402582315741,0.35,194.7826086956522,0.0,0.65,60.0,13.815521311863003,4.0,4.0,0.8,0.35,7000.0,7000.0
PRV51044,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,5,21330.0,59.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,7937.253933193771,7937.253933193771,2498.974358974359,9484.693084693085,9484.693084693085,5.333333333333333,5.333333333333333,633.149798583193,0.4358974358974359,361.52542372881356,2.2033898305084745,0.5641025641025641,100.0,11.817213068822575,4.0,4.0,0.5897435897435898,0.3333333333333333,7000.0,7000.0
PRV51045,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,9,8390.0,31.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,3,4.0,16.0,8.0,7937.253933193771,7937.253933193771,3965.1724137931033,9484.693084693085,9484.693084693085,5.333333333333333,5.333333333333333,602.7212483609703,0.4482758620689655,270.64516129032256,1.2903225806451613,0.5172413793103449,80.0,9.808504105041957,4.0,4.0,0.7241379310344828,0.4827586206896552,7000.0,7000.0
PRV51046,0,101000.0,101000.0,36.0,36.0,8544.0,8544.0,8.0,8.0,26,6,8370.0,30.0,1.0,1.0,100.0,1.0,1.0,1.0,1.0,1,2.0,5.0,3.0,11160.357137142675,11160.357137142675,7563.846153846154,12625.0,12625.0,4.5,4.5,468.2273983351723,0.34615384615384615,279.0,3.3333333333333335,0.5,100.0,16.410325625387095,3.0,3.0,0.8076923076923077,0.34615384615384615,10000.0,10000.0
PRV51047,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,6,2530.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,10.0,5.0,7937.253933193771,7937.253933193771,4106.363636363636,9484.693084693085,9484.693084693085,5.333333333333333,5.333333333333333,371.80640123591206,0.36363636363636365,230.0,0.0,0.5454545454545454,100.0,12.565987997457308,4.0,4.0,0.6363636363636364,0.2727272727272727,7000.0,7000.0
PRV51048,0,19000.0,19000.0,19.0,19.0,4272.0,4272.0,4.0,4.0,33,9,8700.0,34.0,3.0,3.0,80.0,0.0,0.0,4.0,4.0,1,4.0,11.0,8.0,1707.825127659933,1707.825127659933,4500.0,4750.0,4750.0,4.75,4.75,569.822501055765,0.3939393939393939,255.88235294117646,2.3529411764705883,0.6060606060606061,95.0,14.525139781921562,4.0,4.0,0.8484848484848485,0.5757575757575758,4500.0,4500.0
PRV51049,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65,21,21720.0,71.0,0.0,0.0,190.0,0.0,0.0,0.0,0.0,4,11.0,35.0,21.0,7937.253933193771,7937.253933193771,2365.5384615384614,9484.693084693085,9484.693084693085,5.333333333333333,5.333333333333333,644.0465321804644,0.36923076923076925,305.9154929577465,2.676056338028169,0.6,70.0,11.543688226199139,4.0,4.0,0.6615384615384615,0.4307692307692308,7000.0,7000.0
PRV51052,1,14000.0,14000.0,18.0,18.0,2136.0,2136.0,2.0,2.0,37,7,16800.0,44.0,1.0,1.0,210.0,0.0,0.0,2.0,2.0,1,5.0,16.0,6.0,2828.42712474619,2828.42712474619,2969.189189189189,7000.0,7000.0,9.0,9.0,710.726037976014,0.40540540540540543,381.8181818181818,4.7727272727272725,0.6216216216216216,60.0,12.811511282171267,9.0,9.0,0.5945945945945946,0.2972972972972973,7000.0,7000.0
PRV51053,0,8000.0,8000.0,5.0,5.0,1068.0,1068.0,1.0,1.0,1,1,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,0.0,0.0,0.0,7937.253933193771,7937.253933193771,8000.0,8000.0,8000.0,5.0,5.0,517.8553338098865,1.0,265.1538461538462,1.9866845940319222,1.0,80.0,12.65418930687249,5.0,5.0,0.0,0.0,8000.0,8000.0
PRV51054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,4,15130.0,57.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,1,2.0,3.0,2.0,7937.253933193771,7937.253933193771,2650.0,9484.693084693085,9484.693084693085,5.333333333333333,5.333333333333333,417.09056131834507,0.45,265.43859649122805,2.456140350877193,0.5,90.0,11.681376040330615,4.0,4.0,0.525,0.325,7000.0,7000.0
PRV51055,0,16700.0,16700.0,11.0,11.0,2136.0,2136.0,2.0,2.0,22,8,4940.0,20.0,1.0,1.0,70.0,0.0,0.0,1.0,1.0,1,2.0,5.0,3.0,10818.733752154178,10818.733752154178,5162.272727272727,8350.0,8350.0,5.5,5.5,549.3546453028221,0.36363636363636365,247.0,3.5,0.6818181818181818,65.0,17.61113694739541,5.5,5.5,0.5,0.45454545454545453,8350.0,8350.0
PRV51056,0,8000.0,8000.0,6.0,6.0,2136.0,2136.0,2.0,2.0,21,6,6700.0,20.0,1.0,1.0,10.0,0.0,0.0,1.0,1.0,1,2.0,5.0,4.0,1414.213562373095,1414.213562373095,6648.0952380952385,4000.0,4000.0,3.0,3.0,666.0369833259222,0.7142857142857143,335.0,0.5,0.5714285714285714,75.0,12.694797241205128,3.0,3.0,0.9047619047619048,0.42857142857142855,4000.0,4000.0
PRV51057,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,6830.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,7937.253933193771,7937.253933193771,15000.0,9484.693084693085,9484.693084693085,5.333333333333333,5.333333333333333,1273.8838251583227,0.25,1366.0,0.0,0.75,1200.0,7.507495883618394,4.0,4.0,0.25,0.0,7000.0,7000.0
PRV51058,0,91000.0,91000.0,37.0,37.0,5340.0,5340.0,5.0,5.0,75,10,16030.0,78.0,3.0,3.0,200.0,2.0,2.0,5.0,5.0,2,8.0,29.0,15.0,22129.166274399042,22129.166274399042,4820.133333333333,18200.0,18200.0,7.4,7.4,375.3739172552853,0.4,205.51282051282053,2.5641025641025643,0.5333333333333333,70.0,12.168815923287367,7.0,7.0,0.72,0.38666666666666666,7000.0,7000.0
PRV51059,1,401000.0,401000.0,172.0,172.0,26700.0,26700.0,25.0,25.0,82,17,20060.0,71.0,11.0,11.0,240.0,4.0,4.0,12.0,12.0,1,8.0,21.0,14.0,16539.04471243729,16539.04471243729,10835.975609756097,16040.0,16040.0,6.88,6.88,538.3751169952022,0.3780487804878049,282.53521126760563,3.380281690140845,0.6219512195121951,90.0,12.9960973181368,5.0,5.0,0.6219512195121951,0.3170731707317073,10000.0,10000.0
PRV51060,0,35000.0,35000.0,24.0,24.0,5340.0,5340.0,5.0,5.0,42,15,8710.0,37.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2,5.0,24.0,8.0,4301.162633521313,4301.162633521313,3784.285714285714,7000.0,7000.0,4.8,4.8,274.0802254267351,0.4523809523809524,235.40540540540542,0.0,0.5952380952380952,90.0,12.232248547123408,4.0,4.0,0.7857142857142857,0.38095238095238093,5000.0,5000.0
PRV51061,0,3000.0,3000.0,8.0,8.0,1068.0,1068.0,1.0,1.0,67,5,51940.0,144.0,1.0,1.0,260.0,0.0,0.0,1.0,1.0,2,3.0,6.0,5.0,7937.253933193771,7937.253933193771,4675.522388059701,3000.0,3000.0,8.0,8.0,820.8921062105845,0.417910447761194,360.69444444444446,1.8055555555555556,0.4626865671641791,100.0,13.007977456873126,8.0,8.0,0.7014925373134329,0.29850746268656714,3000.0,3000.0
PRV51062,0,45000.0,45000.0,13.0,13.0,3204.0,3204.0,3.0,3.0,166,12,108380.0,394.0,3.0,3.0,740.0,0.0,0.0,3.0,3.0,1,3.0,3.0,1.0,10535.653752852739,10535.653752852739,4204.096385542169,15000.0,15000.0,4.333333333333333,4.333333333333333,560.6681031795838,0.39759036144578314,275.0761421319797,1.8781725888324874,0.5481927710843374,80.0,13.432956801225961,5.0,5.0,0.6927710843373494,0.3373493975903614,16000.0,16000.0
PRV51063,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115,14,51110.0,149.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,1,3.0,3.0,0.0,7937.253933193771,7937.253933193771,3849.304347826087,9484.693084693085,9484.693084693085,5.333333333333333,5.333333333333333,649.1935794860635,0.41739130434782606,343.02013422818794,1.0738255033557047,0.6260869565217392,80.0,14.542966203227211,4.0,4.0,0.6869565217391305,0.41739130434782606,7000.0,7000.0
PRV51064,1,280000.0,280000.0,191.0,191.0,38448.0,38448.0,36.0,36.0,227,39,80320.0,267.0,17.0,17.0,500.0,6.0,6.0,28.0,28.0,4,32.0,97.0,61.0,7187.732052844767,7187.732052844767,5236.1233480176215,7777.777777777777,7777.777777777777,5.305555555555555,5.305555555555555,539.7222159599519,0.42731277533039647,300.8239700374532,1.8726591760299625,0.6079295154185022,80.0,13.857349374956419,4.0,4.0,0.7136563876651982,0.3568281938325991,6000.0,6000.0
PRV51065,0,75000.0,75000.0,56.0,56.0,9612.0,9612.0,10.0,10.0,26,6,1570.0,18.0,1.0,1.0,110.0,1.0,1.0,3.0,3.0,1,3.0,7.0,4.0,2915.4759474226503,2915.4759474226503,6088.076923076923,7500.0,7500.0,5.6,5.6,89.62704132095243,0.34615384615384615,87.22222222222223,6.111111111111111,0.6923076923076923,55.0,10.0941815384112,5.0,5.0,0.7307692307692307,0.4230769230769231,7500.0,7500.0
PRV51066,0,19000.0,19000.0,4.0,4.0,2136.0,2136.0,2.0,2.0,21,5,5790.0,22.0,2.0,2.0,100.0,1.0,1.0,2.0,2.0,1,5.0,6.0,5.0,7778.174593052023,7778.174593052023,5714.285714285715,9500.0,9500.0,2.0,2.0,502.1893625358426,0.2857142857142857,263.1818181818182,4.545454545454546,0.5714285714285714,80.0,14.02585153860796,2.0,2.0,0.5238095238095238,0.47619047619047616,9500.0,9500.0
PRV51067,1,326000.0,326000.0,79.0,79.0,12816.0,12816.0,12.0,12.0,49,8,8520.0,46.0,4.0,4.0,280.0,2.0,2.0,6.0,6.0,1,4.0,19.0,13.0,23241.159935586587,23241.159935586587,11150.204081632653,27166.666666666668,27166.666666666668,6.583333333333333,6.583333333333333,390.42278582431794,0.42857142857142855,185.2173913043478,6.086956521739131,0.6122448979591837,55.0,15.986156519068839,4.0,4.0,0.6530612244897959,0.2653061224489796,20500.0,20500.0
PRV51068,0,77000.0,77000.0,27.0,27.0,8544.0,8544.0,9.0,9.0,214,15,66260.0,252.0,3.0,3.0,440.0,0.0,0.0,8.0,8.0,2,32.0,74.0,45.0,5126.185499743233,5126.185499743233,2744.7196261682243,8555.555555555555,8555.555555555555,3.0,3.0,514.6732494715665,0.37850467289719625,262.93650793650795,1.746031746031746,0.5514018691588785,80.0,14.253976822134153,3.0,3.0,0.6915887850467289,0.3644859813084112,8000.0,8000.0
PRV51070,0,101000.0,101000.0,41.0,41.0,10680.0,10680.0,10.0,10.0,69,20,24410.0,89.0,4.0,4.0,300.0,2.0,2.0,10.0,10.0,5,12.0,36.0,14.0,5952.590472502987,5952.590472502987,4296.086956521739,10100.0,10100.0,4.1,4.1,593.8183216968297,0.37681159420289856,274.2696629213483,3.3707865168539324,0.5072463768115942,80.0,15.255505034854652,2.5,2.5,0.7246376811594203,0.37681159420289856,10000.0,10000.0
